ID,Business Unit ,Lat,Lng,Country,Code,item
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,China,CHN,6901B - Apple - APL - W_NEW - Apple - iPad Mini 5
44,Wireless New Products,35.000074,104.999927,CHINA,CHN,6900D - Apple - APL - W_NEW - Apple - iPhone 15 Pro
44,Wireless New Products,35.000074,104.999927,CHINA,CHN,6900D - Apple - APL - W_NEW - Apple - iPhone 15 Pro
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
44,Wireless New Products,35.000074,104.999927,China,CHN,6900C - Apple - APL - W_NEW - Apple - iPhone 12 Pro Max
